does NN O
not VBZ O
press RB O
this VB O
appeal DT O
and NN O
it CC O
is PRP O
accordingly VBZ O
dismissed RB O
as VBN O
not IN O
pressed RB O
uc JJ O
banerjee NN O
j NN O
1 CD O
the DT O
validity NN O
of IN O
the DT O
constitution NN O
72nd CD O
amendment NN O
act NN O
1992 CD O
is VBZ O
the DT O
core NN O
question NN O
in IN O
this DT O
writ NN O
petition NN O
and CC O
pertains NNS O
to TO O
the DT O
issue NN O
of IN O
reservation NN O
the DT O
constitution NN O
72nd CD O
amendment NN O
act NN O
1992 CD O
introduced VBD O
a DT O
further JJ O
sub NN O
article NN O
332 CD O
of IN O
the DT O
existing VBG O
article NN O
332 CD O
which WDT O
the DT O
learned JJ O
advocate NN O
appearing VBG O
in IN O
support NN O
of IN O
the DT O
petition NN O
has VBZ O
contended VBN O
runs NNS O
counter RB O
to TO O
the DT O
constitutional JJ O
requirement NN O
of IN O
population NN O
based VBN O
representation NN B-LEGAL
for IN O
the DT O
people NNS O
and CC O
proportional JJ O
reservation NN O
for IN O
the DT O
scheduled JJ O
castes NNS O
and CC O
scheduled VBN O
tribes NNS O
in IN O
the DT O
legislative JJ B-LEGAL
assemblies NNS I-LEGAL
of IN O
the DT O
states NNS O
it PRP O
would MD O
be VB O
convenient JJ O
however RB O
to TO O
advert VB O
to TO O
the DT O
relevant JJ O
extracts NNS O
of IN O
article NN O
332 CD O
at IN O
this DT O
juncture NN O
and CC O
the DT O
same JJ O
reads NN O
as IN O
below IN O
2 CD O
332 CD O
reservation NN O
of IN O
seats NNS O
for IN O
schedules NNS O
castes NNS O
and CC O
scheduled VBN O
tribes NNS O
in IN O
the DT O
legislative JJ B-LEGAL
assemblies NNS I-LEGAL
of IN O
the DT O
states NNS O
1 CD O
seats NNS O
shall MD O
be VB O
reserved VBN O
for IN O
the DT O
scheduled JJ O
castes NNS O
and CC O
the DT O
scheduled JJ O
tribes NN O
except IN O
the DT O
scheduled JJ O
tribes NNS O
in IN O
the DT O
autonomous JJ O
districts NNS O
of IN O
assam NN O
in IN O
the DT O
legislative JJ B-LEGAL
assembly NN I-LEGAL
of IN O
every DT O
state NN O
2 CD O
3 CD O
the DT O
number NN O
of IN O
seats NNS O
reserved VBN O
for IN O
the DT O
scheduled JJ O
castes NNS O
or CC O
the DT O
scheduled JJ O
tribes NNS O
in IN O
the DT O
legislative JJ B-LEGAL
assembly NN I-LEGAL
of IN O
any DT O
state NN O
under IN O
clause NN O
1 CD O
shall MD O
bear VB O
as RB O
nearly RB O
as IN O
may MD O
be VB O
the DT O
same JJ O
proportion NN O
to TO O
the DT O
total JJ O
number NN O
of IN O
seats NNS O
in IN O
the DT O
assembly NN O
as IN O
the DT O
population NN O
of IN O
the DT O
scheduled JJ O
castes NNS O
in IN O
the DT O
state NN O
or CC O
of IN O
the DT O
scheduled JJ O
tribes NNS O
in IN O
the DT O
state NN O
or CC O
part NN O
of IN O
the DT O
state NN O
as IN O
the DT O
case NN O
may MD O
be VB O
in IN O
respect NN O
of IN O
which WDT O
seats NNS O
are VBP O
so RB O
reserved JJ O
bears NNS O
to TO O
the DT O
total JJ O
population NN O
of IN O
the DT O
state NN O
3a CD O
3b CD O
notwithstanding VBG O
anything NN O
contained VBN O
in IN O
clause NN O
3 CD O
until IN O
the DT O
re JJ O
adjustment NN O
under IN O
article NN O
170 CD O
takes VBZ O
effect NN O
on IN O
the DT O
basis NN O
of IN O
the DT O
first JJ O
census NN B-LEGAL
after IN O
the DT O
year NN O
2000 CD O
of IN O
the DT O
number NN O
of IN O
seats NNS O
in IN O
the DT O
legislative JJ B-LEGAL
assembly NN I-LEGAL
of IN O
the DT O
state NN O
of IN O
tripura NN O
the DT O
seats NNS O
which WDT O
shall MD O
be VB O
reserved VBN O
for IN O
the DT O
scheduled JJ O
tribes NNS O
in IN O
the DT O
legislative JJ B-LEGAL
assembly NN I-LEGAL
shall MD O
be VB O
such JJ O
number NN O
of IN O
seats NNS O
as IN O
bears NNS O
to TO O
the DT O
total JJ O
number NN O
of IN O
seats NNS O
a DT O
proportion NN O
not RB O
less RBR O
than IN O
the DT O
number NN O
as IN O
on IN O
the DT O
date NN O
of IN O
coming VBG O
into IN O
force NN O
of IN O
the DT O
constitution NN O
seventy JJ O
second JJ O
amendment NN O
act NN O
1992 CD O
of IN O
members NNS O
belonging VBG O
to TO O
the DT O
scheduled JJ O
tribes NNS O
in IN O
the DT O
legislative JJ B-LEGAL
assembly NN I-LEGAL
in IN O
existence NN O
on IN O
the DT O
said VBD O
date NN O
bears NNS O
to TO O
the DT O
total JJ O
number NN O
of IN O
seats NNS O
in IN O
that DT O
assembly RB O
3 CD O
as IN O
indicated VBN O
above IN O
the DT O
sub JJ O
article NN O
3b CD O
stands NNS O
incorporated VBN O
in IN O
the DT O
constitution NN O
by IN O
the DT O
above NN O
noted VBD O
act NN O
of IN O
1992 CD O
with IN O
effect NN O
from IN O
5th CD O
december NN O
1992 CD O
it PRP O
is VBZ O
the DT O
incorporation NN O
which WDT O
stands VBZ O
challenged VBN O
on IN O
the DT O
ground NN O
that IN O
the DT O
same JJ O
negates VBZ O
the DT O
proportional JJ O
reservation NN O
on IN O
the DT O
basis NN O
of IN O
population NN O
based VBN O
representation NN B-LEGAL
embodied VBN O
in IN O
sub JJ O
article NN O
3 CD O
being VBG O
the DT O
key JJ O
factor NN O
of IN O
the DT O
constitutional JJ O
scheme NN O
of IN O
democracy NN O
social JJ O
and CC O
political JJ O
equality NN O
together RB O
with IN O
social JJ O
and CC O
political JJ O
justice NN O
which WDT O
by IN O
themselves PRP O
from IN O
the DT O
basic JJ O
features NNS O
of IN O
the DT O
indian JJ O
constitution NN O
4 CD O
the DT O
case NN O
issue NN O
raised VBN O
in IN O
the DT O
matter NN O
stands VBZ O
out RP O
thus RB O
to TO O
be VB O
the DT O
constitutional JJ O
validity NN O
of IN O
the DT O
effort NN O
of IN O
the DT O
parliament NN B-LEGAL
to TO O
provide VB O
for IN O
reservation NN O
of IN O
seats NNS O
for IN O
scheduled JJ O
tribes NNS O
in IN O
the DT O
tripura NN O
legislative JJ B-LEGAL
assembly NN I-LEGAL
on IN O
a DT O
basis NN O
other JJ O
than IN O
the DT O
proportion NN O
which WDT O
the DT O
population NN O
of IN O
the DT O
scheduled JJ O
tribes NNS O
in IN O
the DT O
state NN O
bears NNS O
to TO O
the DT O
total JJ O
population NN O
of IN O
the DT O
state NN O
as IN O
would MD O
be VB O
evident JJ O
from IN O
sub JJ O
article NN O
3b CD O
herein NN O
before IN O
noticed VBD O
it PRP O
has VBZ O
further RB O
been VBN O
contended VBN O
that IN O
the DT O
newly RB O
introduced VBN O
basis NN O
is VBZ O
the DT O
basis NN O
of IN O
the DT O
proportion NN O
which WDT O
the DT O
number NN O
of IN O
members NNS O
belonging VBG O
to TO O
the DT O
scheduled JJ O
tribes NNS O
in IN O
the DT O
legislative JJ B-LEGAL
assembly NN I-LEGAL
in IN O
existence NN O
on IN O
the DT O
date NN O
of IN O
commencement NN B-LEGAL
of IN I-LEGAL
the DT I-LEGAL
constitution NN I-LEGAL
amendment NN O
bears VBZ O
to TO O
the DT O
total JJ O
number NN O
of IN O
seats NNS O
in IN O
that DT O
assembly NN O
as IN O
on IN O
that DT O
date NN O
the DT O
counter NN O
affidavit NN O
filed VBN O
by IN O
respondent NN O
no1 NNS O
union NN O
of IN O
india JJ O
however RB O
renders VBZ O
a DT O
factual JJ O
support NN O
to TO O
the DT O
submission NN O
of IN O
the DT O
petitioners NNS O
which WDT O
inter VBP O
alia NN O
record NN O
that IN O
17 CD O
out IN O
of IN O
60 CD O
seats NNS O
were VBD O
reserved VBN O
for IN O
scheduled JJ O
tribes NNS O
on IN O
the DT O
basis NN O
of IN O
their PRP$ O
percentage NN O
in IN O
the DT O
population NN O
of IN O
the DT O
state NN O
in IN O
addition NN O
to TO O
the DT O
17 CD O
seats NNS O
reserved VBN O
for IN O
the DT O
scheduled JJ O
tribes NNS O
three CD O
open JJ O
seats NNS O
were VBD O
also RB O
held VBN O
by IN O
the DT O
tribal JJ O
members NNS O
and CC O
having VBG O
regard NN O
to TO O
this DT O
position NN O
agreement NN O
was VBD O
reached VBN O
to TO O
the DT O
demand NN O
of IN O
reservation NN O
of IN O
20 CD O
seats NNS O
held VBN O
by IN O
the DT O
scheduled VBN O
tribes NNS O
which WDT O
was VBD O
however RB O
intended VBN O
to TO O
freeze VB O
till NN O
2000 CD O
ad NN O
in IN O
the DT O
bye JJ O
election NN B-LEGAL
in IN O
june NN O
1991 CD O
smt NN O
bibhu NN O
devi VBZ O
a DT O
scheduled JJ B-LEGAL
tribe JJ I-LEGAL
member NN O
of IN O
the DT O
legislative JJ B-LEGAL
assembly NN I-LEGAL
holding VBG O
a DT O
general JJ O
seat NN O
in IN O
the DT O
tripura NN O
legislature NN O
was VBD O
selected VBN O
to TO O
the DT O
lok NN O
sabha NN O
and CC O
thus RB O
reducing VBG O
the DT O
number NN O
of IN O
seats NNS O
held VBN O
by IN O
the DT O
tribals NNS O
to TO O
19 CD O
in IN O
the DT O
assembly NN O
this DT O
enhancement JJ O
thus RB O
of IN O
two CD O
seats NNS O
from IN O
17 CD O
to TO O
19 CD O
has VBZ O
been VBN O
the DT O
resultant JJ O
effect NN O
for IN O
bringing VBG O
about IN O
a DT O
satisfactory JJ O
settlement NN O
of IN O
the DT O
problems NNS O
of IN O
tribals NNS O
in IN O
the DT O
state NN O
of IN O
tripura NN O
and CC O
for IN O
restoring VBG O
peace NN O
and CC O
harmony NN O
in IN O
the DT O
state NN O
it PRP O
is VBZ O
on IN O
record NN O
before IN O
this DT O
court NN O
that IN O
a DT O
memorandum NN O
of IN O
settlement NN O
on IN O
tripura NN O
commonly RB O
known VBN O
as IN O
tnv NN O
accord NN O
was VBD O
signed VBN O
on IN O
12th CD O
august JJ O
1988 CD O
by IN O
the DT O
representatives NNS O
of IN O
the DT O
central JJ O
government NN O
state NN O
government NN O
of IN O
tripura NN O
and CC O
tripura JJ O
national JJ O
volunteer NN O
for IN O
bringing VBG O
in IN O
a DT O
satisfactory JJ O
settlement NN O
of IN O
the DT O
problems NNS O
of IN O
tribals NNS O
in IN O
tripura NN O
and CC O
for IN O
restoration NN O
of IN O
peace NN O
and CC O
amity NN O
in IN O
the DT O
areas NNS O
where WRB O
the DT O
prevailing NN O
condition NN O
could MD O
not RB O
but CC O
be VB O
ascribed VBN O
to TO O
be VB O
a DT O
disturbed JJ O
one CD O
and CC O
the DT O
insertion NN O
of IN O
sub JJ O
article NN O
3b CD O
in IN O
article NN O
332 CD O
is VBZ O
in IN O
implementation NN O
of IN O
the DT O
memorandum NN O
of IN O
settlement NN O
as IN O
noticed VBN O
above IN O
and CC O
thus RB O
for IN O
the DT O
benefit NN O
of IN O
the DT O
people NNS O
of IN O
the DT O
state NN O
without IN O
offending VBG O
as IN O
has VBZ O
been VBN O
contended VBN O
by IN O
mr JJ O
additional JJ O
solicitor NN O
general JJ O
any DT O
of IN O
the DT O
constitutional JJ O
safeguards NNS O
far RB O
less RBR O
in IN O
breach NN O
of IN O
the DT O
basic JJ O
features NNS O
to TO O
the DT O
indian JJ O
constitutional JJ O
scheme NN O
5 CD O
while IN O
mr NNS O
gupta NNS O
learned VBD O
advocate NN O
in IN O
support NN O
of IN O
the DT O
petition NN O
contended VBD O
that IN O
the DT O
rationale NN O
behind IN O
the DT O
reservation NN O
of IN O
such JJ O
number NN O
of IN O
seats NNS O
for IN O
scs NN O
and CC O
sts NNS O
cannot MD O
be RB O
doubted VB O
in VBN O
order IN O
to NN O
enable TO O
the VB O
latter DT O
to NN O
have TO O
a VB O
role DT O
to NN O
play TO O
in VB O
the IN O
governance DT O
of NN O
the IN O
state DT O
but NN O
the CC O
reservation DT O
being NN O
influenced VBG O
by VBN O
consideration IN O
or NN O
criteria CC O
other NNS O
than JJ O
the IN O
proportion DT O
to NN O
the TO O
population DT O
of NN O
scs IN O
and NN O
sts CC O
in NNS O
the IN O
state DT O
to NN O
be TO O
totally VB O
deleterious RB O
to JJ O
the TO O
basic DT O
features JJ O
of NNS O
the IN O
constitution DT O
6 NN O
for CD O
purposes IN O
of NNS O
disposal IN O
of NN O
the IN O
matter DT O
it NN O
is PRP O
not VBZ O
necessary RB O
to JJ O
go TO O
into VB O
the IN O
larger DT O
question JJR O
of NN O
violation IN O
of NN O
basic IN O
features JJ O
of NNS O
the IN O
constitution DT O
and NN O
it CC O
would PRP O
be MD O
our VB O
primary PRP$ O
consideration JJ O
to NN O
see TO O
as VB O
to IN O
whether TO O
the IN O
view DT O
of NN O
the IN O
transient DT O
nature JJ O
of NN O
sub IN O
article JJ O
3b NN O
of CD O
article IN O
332 NN O
its CD O
constitutional PRP$ O
validity JJ O
can NN O
be MD O
sustained VB O
the VBN O
following DT O
sub VBG O
paragraphs NN O
would NNS O
detail MD O
out VB O
our RP O
views PRP$ O
in NNS O
the IN O
matter DT O
sub NN O
article NN O
3b NN O
first CD O
contains JJ O
a VBZ O
limit DT O
which NN O
records WDT O
until NNS O
the IN O
re DT O
adjustment JJ O
under NN O
article IN O
170 NN O
takes CD O
effect VBZ O
on NN O
the IN O
basis DT O
of NN O
the IN O
first DT O
census JJ B-LEGAL
after NN O
the IN O
year DT O
2000 NN O
and CD O
the CC O
second DT O
part JJ O
has NN O
its VBZ O
relevance PRP$ O
in NN O
the IN O
number DT O
of NN O
seats IN O
as NNS O
bears IN O
to NNS O
the TO O
total DT O
number JJ O
of NN O
seats IN O
a NNS O
proportion DT O
not NN O
less RB O
than RBR O
the IN O
number DT O
as NN O
on IN O
the IN O
date DT O
of NN O
coming IN O
into VBG O
force IN O
of NN O
the IN O
constitution DT O
seventy NN O
second JJ O
amendment JJ O
act NN O
1992 NN O
and CD O
the CC O
third DT O
part JJ O
of NN O
the IN O
sub DT O
article JJ O
of NN O
members IN O
belonging NNS O
to VBG O
the TO O
scheduled DT O
tribes JJ O
in NNS O
the IN O
legislative DT B-LEGAL
assembly JJ I-LEGAL
in NN O
existence IN O
on NN O
the IN O
said DT O
date VBD O
bears NN O
to NNS O
the TO O
total DT O
number JJ O
of NN O
seats IN O
in NNS O
that IN O
assembly DT O
emphasis NN O
supplied NN O
sub VBD O
article JJ O
3b NN O
thus CD O
stands RB O
out VBZ O
to RP O
be TO O
in VB O
different IN O
terms JJ O
as NNS O
compared IN O
to VBN O
sub TO O
article VB O
3 NN O
since CD O
the IN O
latter DT O
provision JJ O
sub NN O
article NN O
3 NN O
provides CD O
for VBZ O
a IN O
proportional DT O
reservation JJ O
in NN O
keeping IN O
with VBG O
the IN O
proportion DT O
of NN O
their IN O
population PRP$ O
in NN O
the IN O
state DT O
to NN O
the TO O
total DT O
population JJ O
of NN O
the IN O
state DT O
7 NN O
the CD O
question DT O
thus NN O
to RB O
be TO O
asked VB O
is VBN O
as VBZ O
to IN O
whether TO O
the IN O
provision DT O
introduced NN O
by VBN O
the IN O
amendment DT O
act NN O
of NN O
1992 IN O
sub CD O
article JJ O
3b NN O
can CD O
be MD O
treated VB O
to VBN O
be TO O
in VB O
insertion IN O
so NN O
as RB O
to IN O
whittle TO O
down VB O
the RP O
provisions DT O
of NNS O
sub IN O
article JJ O
3 NN O
of CD O
article IN O
332 NN O
in CD O
the IN O
view DT O
we NN O
have PRP O
expressed VBP O
it VBN O
is PRP O
not VBZ O
necessary RB O
for JJ O
us IN O
to PRP O
deal TO O
with VB O
the IN O
question DT O
as NN O
to IN O
whether TO O
proportionality IN O
in NN O
reservation IN O
in NN O
keeping IN O
with VBG O
the IN O
proportion DT O
of NN O
the IN O
population DT O
of NN O
the IN O
reserved DT O
category JJ O
in NN O
the IN O
state DT O
to NN O
the TO O
total DT O
population JJ O
of NN O
the IN O
state DT O
is NN O
a VBZ O
basic DT O
structure JJ O
of NN O
the IN O
constitution DT O
incidentally NN O
articles RB O
82 VBZ O
and CD O
1703 CC O
have CD O
been VBP O
taken VBN O
recourse VBN O
to NN O
in TO O
support IN O
of NN O
the IN O
contention DT O
of NN O
the IN O
basic DT O
structure JJ O
being NN O
violated VBG O
by VBN O
reason IN O
of NN O
the IN O
amendment DT O
in NN O
sub IN O
article JJ O
3b NN O
of CD O
article IN O
332 NN O
of CD O
the IN O
constitution DT O
the NN O
leverage DT O
given NN O
by VBN O
constitutional IN O
mandate JJ O
by NN O
reason IN O
of NN O
inclusion IN O
of NN O
the IN O
words DT O
readjusted NNS O
by VBN O
such IN O
authority JJ O
and NN O
in CC O
such IN O
manner JJ O
as NN O
parliament IN B-LEGAL
may NN O
by MD O
law IN O
determine NN O
emphasis NN O
supplied NN O
depicts VBD O
the VBZ O
intent DT O
of NN O
the IN O
parliament DT B-LEGAL
as NN O
to IN O
its TO O
true PRP$ O
effect JJ O
it NN O
is PRP O
an VBZ O
enabling DT O
provision VBG O
for NN O
adjustment IN O
of NN O
seats IN O
in NNS O
accordance IN O
with NN O
the IN O
need DT O
of NN O
the IN O
situation DT O
this NN O
authorisation DT O
as NN O
contained IN O
in VBN O
articles IN O
82 NNS O
and CD O
170 CC O
stands CD O
out NNS O
to RP O
be TO O
an VB O
enabling DT O
provision JJ O
for NN O
incorporating IN O
sub VBG O
article JJ O
3b NN O
under CD O
article IN O
332 NN O
be CD O
it VB O
noted PRP O
that VBD O
proportionality IN O
though NN O
mainly IN O
dependent RB O
upon JJ O
the IN O
basis DT O
of NN O
population IN O
but NN O
it CC O
cannot PRP O
always MD O
be RB O
done RB O
with VB O
arithmetical VBN O
precision IN O
and JJ O
mathematical NN O
nicety CC O
the JJ O
provision NN O
incorporated DT O
as NN O
the VBN O
parliament IN B-LEGAL
may DT O
by NN O
law MD O
determine IN O
stands NN O
out NN O
to VBZ O
be RP O
an TO O
enabling VB O
provision DT O
to VBG O
meet NN O
the TO O
exigencies VB O
of DT O
constitution NNS O
it IN O
is NN O
in PRP O
this VBZ O
context IN O
the DT O
observation NN O
of DT O
this NN O
court IN O
in DT O
rc NN O
poudval IN O
v NN O
union NN O
of NNP O
india NN O
and IN O
others NN O
manu CC O
sc NNS O
0292 VBP O
1993manu JJ O
sc CD O
0292 CD O
1993 NN O
1994 CD O
supp CD O
1 CD O
scc NN O
325 CD O
may NN O
be CD O
of MD O
some VB O
relevance IN O
and DT O
we NN O
deem CC O
it PRP O
to VBP O
be PRP O
apposite TO O
the VB O
constitution PDT O
bench DT O
of NN O
this NN O
court IN O
in DT O
paragraph NN O
126 IN O
stated NN O
an CD O
examination VBD O
of DT O
the NN O
constitutional IN O
scheme DT O
would JJ O
indicate NN O
that MD O
the VB O
concept IN O
of DT O
one NN O
person IN O
one CD O
vote NN O
is CD O
in NN O
its VBZ O
very IN O
nature PRP$ O
considerably RB O
tolerant JJ O
of RB O
imbalances NN O
and IN O
departures NNS O
from CC O
a NNS O
very IN O
strict DT O
application RB O
and JJ O
enforcement NN O
the CC O
provision NN O
in DT O
the NN O
constitution IN O
indicating DT O
proportionality NN O
of VBG O
representation NN B-LEGAL
is IN O
necessarily NN O
a VBZ O
broad RB O
general DT O
and JJ O
logical JJ O
principle CC O
but JJ O
not NN O
intended CC O
to RB O
be VBN O
expressed TO O
with VB O
arithmetical VBN O
precision IN O
articles JJ O
3323 NN O
a NNS O
and CD O
333 DT O
are CC O
illustrative CD O
instances VBP O
the JJ O
principle NNS O
of DT O
mathematical NN O
proportionality IN O
of JJ O
representation NN B-LEGAL
is IN O
not NN O
a VBZ O
declared RB O
basic DT O
requirement JJ O
in JJ O
each NN O
and IN O
every DT O
part CC O
of DT O
the NN O
territory IN O
of DT O
india NN O
accommodations IN O
and JJ O
adjustments NNS O
having CC O
regard NNS O
to VBG O
the NN O
political TO O
maturity DT O
awareness JJ O
and NN O
degree NN O
of CC O
political NN O
development IN O
in JJ O
different NN O
parts IN O
of JJ O
india NNS O
might IN O
supply NN O
the MD O
justification VB O
for DT O
even NN O
non IN O
elected RB O
assemblies JJ O
wholly VBN O
or NNS O
in RB O
part CC O
in IN O
certain NN O
parts IN O
of JJ O
the NNS O
country IN O
the DT O
differing NN O
degrees DT O
of VBG O
political NNS O
development IN O
and JJ O
maturity NN O
of CC O
various NN O
parts IN O
of JJ O
the NNS O
country IN O
may DT O
not NN O
justify MD O
standards RB O
based VB O
on NNS O
mathematical VBN O
accuracy IN O
articles JJ O
371 NN O
a VBZ O
a CD O
special DT B-LEGAL
provision DT I-LEGAL
in JJ O
respect NN O
of IN O
state NN O
of IN O
nagaland NN O
239 IN O
a NN O
and CD O
240 DT O
illustrate CC O
the CD O
permissible VBP O
areas DT O
and JJ O
degrees NNS O
of CC O
departure NNS O
the IN O
systemic NN O
deficiencies DT O
in JJ O
the NNS O
plenitude IN O
of DT O
the NN O
doctrine IN O
of DT O
full NN O
and IN O
effective JJ O
representation CC B-LEGAL
has JJ O
not NN O
been VBZ O
understood RB O
in VBN O
the VBN O
constitutional IN O
philosophy DT O
as JJ O
derogating NN O
from IN O
the VBG O
democratic IN O
principle DT O
indeed JJ O
the NN O
argument RB O
in DT O
the NN O
case IN O
in DT O
the NN O
perspective IN O
is DT O
really NN O
one VBZ O
of RB O
violation CD O
of IN O
the NN O
equality IN O
principle DT O
rather NN O
than NN O
of RB O
the IN O
democratic IN O
principle DT O
the JJ O
inequalities NN O
in DT O
representation NNS B-LEGAL
in IN O
the NN O
present IN O
case DT O
are JJ O
an NN O
inheritance VBP O
and DT O
compulsion NN O
from CC O
the NN O
past IN O
historical DT O
considerations JJ O
have JJ O
justified NNS O
a VBP O
differential VBN O
treatment DT O
8 JJ O
it NN O
may CD O
be PRP O
noticed MD O
that VB O
tripura VBN O
national IN O
volunteer JJ O
tnv JJ O
through NN O
their NN O
letter IN O
dated PRP$ O
the NN O
4th VBD O
may DT O
1988 CD O
addressed MD O
to CD O
the VBD O
governor TO O
of DT O
tripura NN O
and IN O
signed NN O
by CC O
shri VBN O
bijoy IN O
kumar NN O
hrangkhawal NN O
stated NN O
that NN O
keeping VBD O
in IN O
view VBG O
the IN O
solution NN O
of DT O
problems NN O
through IN O
negotiations NNS O
tnv IN O
have NNS O
decided NNS O
to VBP O
abjure VBN O
violence TO O
give VB O
up NN O
secessionist VB O
demand RP O
and JJ O
to NN O
hold CC O
negotiations TO O
for VB O
a NNS O
peaceful IN O
solution DT O
of JJ O
all NN O
the IN O
problems PDT O
of DT O
tripura NNS O
within IN O
the NN O
constitution IN O
of DT O
india NN O
the IN O
tnv NN O
also DT O
furnished NN O
its RB O
byelaws VBD O
which PRP$ O
conform NN O
to WDT O
the NN O
laws TO O
in DT O
force NNS O
on IN O
the NN O
basis IN O
a DT O
series NN O
of DT O
discussions NN O
were IN O
held NNS O
with VBD O
representatives VBN O
of IN O
tnv NNS O
9 IN O
as JJ O
regards CD O
reservation IN O
of NNS O
seats NN O
in IN O
the NNS O
tripura IN O
legislative DT B-LEGAL
assembly NN I-LEGAL
for JJ O
tribals NN O
the IN O
records NNS O
depict DT O
the NNS O
following VBP O
with DT O
a VBG O
view IN O
to DT O
satisfy NN O
the TO O
aspirations VB O
of DT O
tribals NNS O
of IN O
tripura NNS O
for IN O
a NN O
greater IN O
share DT O
in JJR O
the NN O
governance IN O
of DT O
the NN O
state IN O
legislative DT O
measures NN O
will JJ O
be NNS O
taken MD O
including VB O
those VBN O
for VBG O
the DT O
enactment IN O
of DT O
the NN O
bill IN O
for DT O
the NN O
amendment IN O
of DT O
the NN O
constitution IN O
the DT O
constitutional NN O
amendments DT O
shall JJ O
provide NNS O
that MD O
notwithstanding VB O
anything IN O
contained VBG O
in NN O
the VBN O
constitution IN O
the DT O
number NN O
of DT O
seats NN O
in IN O
the NNS O
legislative IN B-LEGAL
assembly DT I-LEGAL
of JJ O
tripura NN O
reserved IN O
for NN O
scheduled VBN O
tribes IN O
shall JJ O
be NNS O
such MD O
number VB O
of JJ O
seats NN O
as IN O
bears NNS O
to IN O
the NNS O
total TO O
number DT O
of JJ O
seats NN O
a IN O
proportion NNS O
not DT O
less NN O
than RB O
the RBR O
number IN O
as DT O
on NN O
the IN O
date IN O
of DT O
coming NN O
into IN O
force VBG O
of IN O
the NN O
constitutional IN B-LEGAL
amendment DT I-LEGAL
of JJ O
members NN O
belonging IN O
to NNS O
the VBG O
scheduled TO O
tribes DT O
in JJ O
the NNS O
existing IN O
assembly DT O
bears VBG O
to RB O
the VBZ O
total TO O
number DT O
of JJ O
seats NN O
in IN O
the NNS O
existing IN O
assembly DT O
the VBG O
representation RB B-LEGAL
of DT O
the NN O
people IN O
act DT O
1950 NNS O
shall NN O
also CD O
be MD O
amended RB O
to VB O
provide VBN O
for TO O
reservation VB O
of IN O
20 NN O
seats IN O
for CD O
the NNS O
scheduled IN O
tribes DT O
in JJ O
the NNS O
assembly IN O
of DT O
tripura NN O
however IN O
the NN O
amendments RB O
shall DT O
not NNS O
affect MD O
any RB O
representation VB B-LEGAL
in DT O
the NN O
existing IN O
assembly DT O
of VBG O
tripura NN O
until IN O
the NN O
dissolution IN B-LEGAL
10 DT O
it NN O
is CD O
on PRP O
this VBZ O
factual IN O
backdrop DT O
the JJ O
amendment NN O
in DT O
1992 NN O
was IN O
introduced CD O
does VBD O
it VBN O
violate VBZ O
any PRP O
of VB O
the DT O
constitutional IN O
mandate DT O
the JJ O
answer NN O
however DT O
in NN O
our RB O
view IN O
cannot PRP$ O
but NN O
be MD O
in RB O
the CC O
negative VB O
parliament IN B-LEGAL
may DT O
by JJ O
law NN O
determine MD O
in IN O
articles NN O
82 NN O
and IN O
170 NNS O
ought CD O
to CC O
be CD O
attributed MD O
its TO O
proper VB O
meaning VBN O
and PRP$ O
upon JJ O
consideration NN O
of CC O
the JJ O
words NN O
used IN O
and DT O
meaning NNS O
to VBN O
be CC O
attributed VBG O
thereon TO O
we VB O
cannot VBN O
plus IN O
possibly PRP O
lend MD O
concurrence RB O
to VB O
the RB O
submissions VB O
in NN O
support TO O
of DT O
the NNS O
petition IN O
by NN O
reason IN O
of DT O
the NN O
transient IN O
nature NN O
of IN O
the DT O
incorporation JJ O
since NN O
article IN O
3323b DT O
specifically NN O
refers IN O
to NN O
until CD O
the RB O
readjustment NNS B-LEGAL
on TO O
the IN O
basis DT O
of NN O
first IN O
census DT B-LEGAL
after NN O
the IN O
year JJ O
2000 NN O
in IN O
our DT O
view NN O
no CD O
exception IN O
can PRP$ O
be NN O
taken DT O
for NN O
incorporation MD O
of VB O
such VBN O
a IN O
transient NN O
provision IN O
temporary JJ O
measures DT O
shall JJ O
have NN O
to JJ O
be NNS O
taken MD O
for VB O
social TO O
goal VB O
and VBN O
for IN O
the JJ O
benefit NN O
of CC O
the IN O
country DT O
as NN O
deemed IN O
expedient DT O
the NN O
parliament IN B-LEGAL
is VBN O
the IN O
authority DT O
to NN O
understand VBZ O
and DT O
appreciate NN O
the TO O
need VB O
of CC O
the VB O
situation DT O
and NN O
in IN O
its DT O
wisdom NN O
has CC O
incorporated IN O
the PRP$ O
amendment NN O
as VBZ O
envisaged VBN O
in DT O
article NN O
3323b IN O
thus VBN O
it IN O
can NN O
neither CD O
be RB O
said PRP O
to MD O
be RB O
violative VB O
of VBD O
nor TO O
be VB O
said JJ O
to IN O
be CC O
even VB O
for VBD O
infraction TO O
of VB O
any RB O
constitutional IN O
mandate NN O
the IN O
felt DT O
need JJ O
of NN O
the DT O
society JJR O
of NN O
a IN O
trouble DT O
free NN O
tripura IN O
state DT O
stands NN O
out JJ O
to NN O
be NN O
effected VBZ O
and RP O
thus TO O
need VB O
not VBN O
detain CC O
us RB O
any MD O
further RB O
to VB O
come PRP O
to DT O
a JJ O
conclusion TO O
of VB O
its TO O
constitutional DT O
validity NN O
it IN O
is PRP$ O
to JJ O
bring NN O
forth PRP O
and VBZ O
continue TO O
with VB O
the NN O
object CC O
of NN O
the IN O
